t_s,recibidas,en_cola,en_proceso,esperando_veh,asignados,disponibles,entregadas,canceladas,finalizadas,rendimiento
1.0,31,20,6,0,2,1,5,0,5,5.0
2.0,41,20,6,0,3,0,15,0,15,10.0
3.0,49,20,6,0,3,0,23,0,23,8.0
4.01,59,20,6,0,3,0,33,0,33,10.0
5.01,67,20,6,0,3,0,41,0,41,8.0
6.01,76,20,6,0,2,1,50,0,50,9.0
7.01,85,20,6,0,3,0,59,0,59,9.0
8.01,96,20,6,0,3,0,70,0,70,11.0
9.01,100,15,6,0,3,0,79,0,79,9.0
10.01,100,7,6,0,2,1,87,0,87,8.0
11.01,100,0,5,0,2,1,95,0,95,8.0
