t_s,pid,proceso,estado,hilos,rss_kb,pss_kb,privada_kb,cpu_s
0.0,122035,centro_despacho,R,3,23564,8822,3064,0.09
0.0,122036,trabajador-1,S,4,19624,7121,2788,0.00
0.0,122037,trabajador-2,S,4,19632,7096,2732,0.00
0.26,122035,centro_despacho,S,5,23748,9340,3956,0.11
0.26,122036,trabajador-1,S,5,23420,11050,6744,0.02
0.26,122037,trabajador-2,S,5,23944,11565,7244,0.02
0.51,122035,centro_despacho,S,5,23772,9390,4016,0.13
0.51,122036,trabajador-1,S,5,26824,14473,10172,0.05
0.51,122037,trabajador-2,S,5,26588,14215,9896,0.05
0.77,122035,centro_despacho,S,5,23792,9412,4040,0.15
0.77,122036,trabajador-1,S,5,27424,15037,10704,0.08
0.77,122037,trabajador-2,S,5,26920,14515,10164,0.08
1.03,122035,centro_despacho,S,5,23812,9436,4064,0.18
1.03,122036,trabajador-1,S,5,27484,15083,10736,0.11
1.03,122037,trabajador-2,S,5,26980,14561,10196,0.11
1.29,122035,centro_despacho,S,5,23832,9459,4088,0.23
1.29,122036,trabajador-1,S,5,27276,14862,10500,0.16
1.29,122037,trabajador-2,S,5,27536,15104,10724,0.15
1.55,122035,centro_despacho,S,5,23860,9480,4108,0.27
1.55,122036,trabajador-1,S,5,27360,14913,10516,0.20
1.55,122037,trabajador-2,S,5,27324,14857,10440,0.20
1.81,122035,centro_despacho,S,5,23872,9498,4128,0.30
1.81,122036,trabajador-1,S,5,27144,14677,10260,0.24
1.81,122037,trabajador-2,S,5,27380,14895,10460,0.23
2.06,122035,centro_despacho,S,3,24076,9511,4140,0.33
2.06,122036,trabajador-1,S,5,27440,14955,10516,0.28
2.06,122037,trabajador-2,S,5,27412,14909,10452,0.27
2.32,122035,centro_despacho,S,3,24084,16318,12772,0.34
