t_s,pid,proceso,estado,hilos,rss_kb,pss_kb,privada_kb,cpu_s
0.0,132902,centro_despacho,R,4,23516,8001,3356,0.09
0.0,132909,trabajador-1,S,4,19592,5882,2516,0.00
0.0,132910,trabajador-2,S,4,19660,5886,2484,0.00
0.0,132914,taller,S,2,19224,5821,2552,0.00
0.51,132902,centro_despacho,S,6,23712,8194,3612,0.09
0.51,132909,trabajador-1,S,4,19764,6198,2932,0.01
0.51,132910,trabajador-2,S,4,19760,6175,2900,0.01
0.51,132914,taller,S,2,19304,5952,2684,0.00
1.02,132902,centro_despacho,S,6,23740,8284,3708,0.12
1.02,132909,trabajador-1,S,5,20092,6671,3440,0.05
1.02,132910,trabajador-2,S,5,19944,6505,3288,0.04
1.02,132914,taller,S,2,19308,6090,2864,0.00
1.53,132902,centro_despacho,S,6,23748,8295,3720,0.14
1.53,132909,trabajador-1,S,5,20352,6920,3700,0.08
1.53,132910,trabajador-2,S,5,20224,6774,3544,0.06
1.53,132914,taller,S,2,19308,6094,2872,0.00
2.04,132902,centro_despacho,S,6,23756,8319,3752,0.14
2.04,132909,trabajador-1,S,5,20416,6988,3768,0.10
2.04,132910,trabajador-2,S,5,20224,6777,3548,0.07
2.04,132914,taller,S,2,19308,6102,2884,0.00
2.54,132902,centro_despacho,S,6,23768,8328,3760,0.14
2.54,132909,trabajador-1,S,5,20480,7054,3836,0.10
2.54,132910,trabajador-2,S,5,20352,6908,3680,0.08
2.54,132914,taller,S,2,19312,6106,2888,0.00
3.05,132902,centro_despacho,S,6,23780,8347,3780,0.16
3.05,132909,trabajador-1,S,5,20612,7186,3968,0.14
3.05,132910,trabajador-2,S,5,20480,7036,3808,0.09
3.05,132914,taller,S,2,19312,6107,2888,0.00
3.56,132902,centro_despacho,S,5,23976,8358,3796,0.17
3.56,132909,trabajador-1,S,5,20676,7250,4032,0.17
3.56,132910,trabajador-2,S,5,20612,7168,3940,0.13
3.56,132914,taller,S,2,19312,6113,2900,0.00
4.06,132902,centro_despacho,S,5,23988,8370,3808,0.19
4.06,132909,trabajador-1,S,5,20804,7381,4164,0.20
4.06,132910,trabajador-2,S,5,20612,7169,3940,0.13
4.06,132914,taller,S,2,19312,6113,2900,0.01
4.57,132902,centro_despacho,S,5,24004,8386,3824,0.20
4.57,132909,trabajador-1,S,5,20872,7448,4232,0.22
4.57,132910,trabajador-2,S,5,20740,7298,4072,0.17
4.57,132914,taller,S,2,19316,6117,2904,0.01
5.08,132902,centro_despacho,S,4,24004,8392,3832,0.21
5.08,132909,trabajador-1,S,5,21000,7585,4372,0.25
5.08,132910,trabajador-2,S,5,20804,7365,4136,0.18
5.08,132914,taller,S,2,19316,6119,2904,0.01
5.59,132902,centro_despacho,S,4,24004,8392,3832,0.22
5.59,132909,trabajador-1,S,5,21068,7653,4440,0.25
5.59,132910,trabajador-2,S,5,20872,7433,4204,0.20
5.59,132914,taller,S,2,19316,6119,2904,0.01
6.1,132902,centro_despacho,S,4,24012,8400,3840,0.23
6.1,132909,trabajador-1,S,5,21068,7653,4440,0.27
6.1,132910,trabajador-2,S,5,20936,7497,4268,0.22
6.1,132914,taller,S,2,19316,6119,2904,0.02
6.61,132902,centro_despacho,S,4,24016,8405,3844,0.25
6.61,132909,trabajador-1,S,5,21200,7787,4576,0.30
6.61,132910,trabajador-2,S,5,21064,7633,4412,0.24
6.61,132914,taller,S,2,19316,6123,2912,0.02
7.11,132902,centro_despacho,S,4,24024,8413,3852,0.26
7.11,132909,trabajador-1,S,5,21200,7787,4576,0.30
7.11,132910,trabajador-2,S,5,21128,7697,4476,0.24
7.11,132914,taller,S,2,19316,6123,2912,0.02
7.63,132902,centro_despacho,S,4,24032,8421,3860,0.26
7.63,132909,trabajador-1,S,5,21264,7852,4640,0.31
7.63,132910,trabajador-2,S,4,21444,7826,4604,0.25
7.63,132914,taller,S,2,19316,6124,2912,0.02
8.13,132902,centro_despacho,S,4,24036,9359,3864,0.27
8.13,132910,trabajador-2,S,4,21444,8893,4648,0.25
8.13,132914,taller,S,2,19316,7124,2916,0.02
8.64,132902,centro_despacho,S,4,24036,9367,3876,0.28
8.64,132910,trabajador-2,S,3,21504,8955,4708,0.26
8.64,132914,taller,S,2,19316,7126,2916,0.02
