t_s,recibidas,en_cola,en_proceso,esperando_veh,asignados,disponibles,entregadas,canceladas,finalizadas,rendimiento
1.0,12,3,6,3,3,0,3,0,3,3.0
2.0,23,10,6,3,3,0,7,0,7,4.0
3.0,26,10,6,3,3,0,10,0,10,3.0
4.0,30,8,6,3,3,0,16,0,16,6.0
5.0,35,10,6,3,3,0,19,0,19,3.0
6.0,40,10,6,3,3,0,24,0,24,5.0
7.01,42,0,0,0,0,3,30,12,42,18.0
