t_s,pid,proceso,estado,hilos,rss_kb,pss_kb,privada_kb,cpu_s
11.13,133521,taller,S,2,19336,6124,2896,0.01
11.64,133510,centro_despacho,S,6,23792,8473,3928,0.28
11.64,133516,trabajador-1,T,5,20552,7182,3944,0.14
11.64,133517,trabajador-2,T,5,20888,7509,4268,0.19
11.64,133521,taller,S,2,19336,6124,2896,0.01
12.15,133510,centro_despacho,S,6,23800,8481,3936,0.29
12.15,133516,trabajador-1,T,5,20552,7182,3944,0.14
12.15,133517,trabajador-2,T,5,20888,7509,4268,0.19
12.15,133521,taller,S,2,19336,6124,2896,0.01
12.66,133510,centro_despacho,S,6,23800,8481,3936,0.30
12.66,133516,trabajador-1,T,5,20552,7182,3944,0.14
12.66,133517,trabajador-2,T,5,20888,7509,4268,0.19
12.66,133521,taller,S,2,19336,6124,2896,0.01
13.16,133510,centro_despacho,S,6,23800,8481,3936,0.31
13.16,133516,trabajador-1,S,5,20616,7247,4008,0.15
13.16,133517,trabajador-2,S,5,21016,7642,4404,0.20
13.16,133521,taller,S,2,19336,6125,2896,0.01
13.67,133510,centro_despacho,S,6,23808,8489,3944,0.33
13.67,133516,trabajador-1,S,5,20744,7377,4140,0.18
13.67,133517,trabajador-2,S,5,21080,7706,4468,0.22
13.67,133521,taller,S,2,19336,6127,2900,0.01
14.18,133510,centro_despacho,S,6,23808,8493,3948,0.33
14.18,133516,trabajador-1,S,5,20744,7377,4140,0.19
14.18,133517,trabajador-2,S,5,21080,7706,4468,0.22
14.18,133521,taller,S,2,19336,6127,2900,0.01
14.68,133510,centro_despacho,S,6,23816,8497,3952,0.34
14.68,133516,trabajador-1,S,5,20812,7445,4208,0.21
14.68,133517,trabajador-2,S,5,21212,7838,4600,0.24
14.68,133521,taller,S,2,19336,6127,2900,0.02
15.19,133510,centro_despacho,S,6,23816,8498,3952,0.35
15.19,133516,trabajador-1,S,5,21008,7650,4420,0.24
15.19,133517,trabajador-2,S,5,21276,7902,4664,0.25
