t_s,recibidas,en_cola,en_proceso,esperando_veh,asignados,disponibles,entregadas,canceladas,finalizadas,rendimiento
1.0,19,10,6,3,3,0,3,0,3,3.0
2.0,24,10,6,3,3,0,8,0,8,5.0
3.0,30,10,6,3,3,0,14,0,14,6.0
4.0,34,10,6,3,3,0,18,0,18,4.0
5.01,40,9,6,3,3,0,25,0,25,7.0
6.01,40,6,6,3,3,0,28,0,28,3.0
7.01,40,2,6,3,3,0,32,0,32,4.0
8.01,40,0,2,0,2,1,38,0,38,6.0
9.01,40,0,0,0,0,3,40,0,40,2.0
